dataset,role,local_size,official_source,acquisition_or_conversion,critical_local_contract,reacquisition_status,recommended_migration_action
"LaChance epithelia","primary LaChance tracks and raw timelapse","46 GB","https://zenodo.org/records/4959169","scripts/audit_lachance_raw_sample.py; scripts/run_lachance_image_feature_extraction.py; scripts/build_simple_trackmate_xml_tables.py","new_data/lachance_epithelia/zips; evidence/raw_context_v2_feature_contract.json in lit-cell","ready; local XML and available video archives match official MD5","keep XML zips and final feature grid; keep tables for immediate work; raw video ZIP is optional archive"
"C2C12 phase-contrast tracking","external structural validation and tracking-noise audit","2.7 GB","https://osf.io/ysaq2/ ; https://www.nature.com/articles/sdata2018237","scripts/prepare_c2c12_online_tracks_v97.py","new_data/c2c12_online/c2c12_split_contract.json","partial: source and converter are preserved, but no dedicated downloader is verified","keep raw XML and prepared tables until Windows acquisition is tested"
"DeepSea","segmentation, masks, morphology and external observability","13.3 GB packed plus unpacked","https://deepseas.org/datasets/ ; https://drive.google.com/drive/folders/13RhhBAetSWkjySyhJcDqj_FaO09hxkhO","experiments/publication/download_deepsea_manifest_v204.py; experiments/publication/prepare_deepsea_multimodal_tracks_v204.py","evidence/data_manifests/deepsea_v204_drive_manifest.json","ready: the exact 19,890-object Drive manifest is committed and hashed","re-download from the frozen manifest; omit raw and unpacked duplicates from migration"
"GigaScience wound healing 100118","wound-healing field and transfer experiments","7.6 GB","https://gigadb.org/dataset/100118 ; https://doi.org/10.5524/100118","scripts/intake_gigascience_wound_healing_v167.py","new_data/gigascience_wound_healing_v167/source_inventory.json; outputs/gigascience_wound_healing_intake_v167_2026-07-28","ready from manifest and direct object URLs; historically less stable than Zenodo","keep source inventory; retain 3.0 GB original downloads in cold archive until Windows restore succeeds"
"MDCK force-motion 2020","mechanical observability and force-motion audit","23 GB packed plus extracted","https://figshare.com/collections/Spatiotemporal_force_and_motion_in_collective_cell_migration/4945206 ; https://www.nature.com/articles/s41597-020-0540-5","scripts/intake_mdck_force_motion_mechanics_v150.py","data/external/mdck_force_motion/manifest.json","ready: article/file IDs, direct URLs, sizes, MD5 and licenses are recorded","keep manifest; re-download archives when needed and do not transfer extracted copy"
"LifeAct MDCK mechanochemical","actin-state, segmentation and identity experiments","6.0 GB","https://zenodo.org/records/20047603","scripts/fetch_lifeact_mdck_sequences_v206.py; scripts/audit_lifeact_mdck_mechanochemical_v206.py","new_data/lifeact_mdck_mechanochemical_v206/sequences/v206_sequence_download_manifest.csv","ready: exact Zenodo file endpoints and member selections are encoded","keep manifest and optional pilot; re-download selected sequences"
"S-BIAD365","privileged state and optogenetic observability audit","11 GB","https://www.ebi.ac.uk/biostudies/studies/S-BIAD365","scripts/intake_future_state_sources_v173.py","outputs/future_state_source_intake_v173_2026-07-28/sbiad365_data_contract.json; sbiad365_paired_subset_manifest.csv","ready through BioStudies API and FTP","keep contracts; re-download if branch is reopened"
"Allen EMT and endothelial state","external state and endothelial tracking audit","1.3 GB plus 26 MB","https://allencell.s3.amazonaws.com/aics/endo_cell_state_dynamics/all_datasets_manifest.csv","scripts/intake_future_state_sources_v173.py","outputs/future_state_source_intake_v173_2026-07-28/allen_emt_pilot_contract.json; allen_endothelial_state_contract.json","ready through public S3 manifests","keep contracts; re-download if branch is reopened"
"SSBD identified-cell sources","cell-specific driver upper-bound audit","1.9 GB","https://ssbd.riken.jp/data/ssbd-000248/","scripts/audit_identified_cell_driver_upper_bound_v171.py","new_data/identified_cell_v171/ssbd248_repos_manifest.txt","ready: object-level source list is retained","keep small URL manifest; re-download data"
"Cell Tracking Challenge datasets","PSC/HSC and candidate screening controls","about 2.7 GB","https://celltrackingchallenge.net/2d-datasets/","scripts/screen_collective_dataset_candidates.py","dataset URLs embedded in acquisition script","ready from direct official training ZIP URLs","re-download; no need to transfer raw and extracted copies"
"Custom Cellpose ctc_stream_bf10x","user-trained segmentation model, not a dataset","581 MB","local training artifact; no external source","tracking/сегментация.ipynb","tracking/cellpose_run/models/ctc_stream_bf10x; SHA-256 aaae8c76a977f3966de22b61f1190183a1dda371d2a55158ad97559201fd3271","not externally recoverable without retraining","must transfer"
