branch,hypothesis,primary_test,control,outcome,decision,evidence_scope
static_pair_physics,"distance-only or pair-correlation physics identifies the next residual direction","MDCK Bulk and Edge h6","matched coordinate baseline and shuffled neighbourhood","full handcrafted packet degraded h6 by 2.99% in Bulk and 1.58% in Edge","rejected as predictive prior","historical controlled study"
free_graph_message_passing,"a generic neighbourhood graph extracts missing interactions","movie-split MDCK","no-graph and shuffled-neighbour controls","small gains were not stable against strict shuffled controls","removed from individual recurrent core","historical controlled study"
multimodal_candidate_generator,"a route-conditioned distribution places plausible futures near the target","fixed-origin oracle@32","matched random cloud and direct mean","oracle coverage improved, typically 5-10% over matched random controls, while deployable selection did not","retained only as diagnostic coverage","historical fixed-origin protocol"
target_aware_posterior,"future-informed latent modes can be distilled to causal context","posterior reconstruction and prior distillation","shuffled future and shuffled context","posterior separated modes; causal prior did not reproduce them reliably","teacher retained as identifiability diagnostic","historical train-time diagnostic"
decomposition_teacher,"factorized or contrastive latent components construct causal route features","MDCK residual prediction","no-decomposition and shuffled-component controls","future decomposition was descriptive but did not improve causal generator or selector","rejected as final module","historical controlled study"
scalar_or_sequence_selector,"set attention or graph critic closes the candidate oracle gap","MDCK h6 final RMSE","candidate mean, shuffled labels, no-context","several 1-2% gains; no robust conversion of oracle coverage","rejected as main route","historical controlled study"
raw_video_state,"tracking-aligned appearance and masks identify the realized route","MDCK wrong-cell/time controls","zero, wrong-cell, same-frame wrong-cell, time-shuffle","identity alignment reached about 97.5%, but visual state did not add conditional-mean gain","demoted to observability diagnostic","23-gate modality program"
direct_mechanics,"traction or stress transfers as a causal correction","external mechanics-to-LaChance bridge","shuffled mechanics and synthetic capacity","synthetic bridge had capacity; biological transfer gate failed","not integrated into mean","external modality audit"
target_reformulation,"velocity, acceleration, turn, flow-relative, or latent components are more observable than displacement","coordinate reconstruction on h1-h6","direct endpoint residual baseline","no formulation produced a stable breakthrough after reconstruction","retain direct online next-step target","target audit"
online_innovation_filter,"chronological h1 prediction and update use new observations honestly","MDCK online h1-h6","no-update, delayed, wrong-cell, missing/noisy observation","stable sequential gain and calibrated heavy-tailed uncertainty","accepted as individual core","primary architecture"
completed_residual_transport,"recent neighbour errors form a causal local field","movie-level MDCK h1-h6","wrong-cell, stale-time, no-update","large h6 gain; correct time and identity required","accepted as graph correction","confirmatory and frozen confirmation"
sparse_transport,"radius-limited graph preserves dense correction","MDCK timing and non-inferiority","dense implementation","within registered tolerance with near-linear measured scaling","accepted for deployment","publication diagnostic"
equivariant_field,"a compact symmetry-respecting law explains the free correction","22 MDCK islands and LaChance bridge","rotation, reflection, time and identity controls","recovered stable kinematic terms and most dense gain","accepted for interpretation","mechanistic analysis"
effective_energy,"the field is generated by a physical potential","finite functional change","time-shuffled observed update and direct mechanics","model update decreased the fitted functional, observed tissue did not exceed shuffle","only mathematical effective functional","mechanistic limitation"
joint_probabilistic_field,"joint graph distribution improves beyond mean transport","MDCK probabilistic closure","independent Student-t baseline","calibration diagnostics improved selectively without a decisive mean breakthrough","not part of final mean","exploratory"
deepsea_transfer,"mask-rich external data improves cross-dataset state representation","DeepSea frozen split","coordinate-only and morphology controls","partial normalized transfer; joint gate not passed","supporting external audit","late external study"
lifeact_state,"actin state improves mean or uncertainty","three LifeAct conditions","wrong-time and restricted controls","mean gate failed; Student-t4 NLL improved 3.649 to 3.614 versus best control 3.644","uncertainty-only evidence","exploratory n=3"
